Minister,Date,Name of Organisation,Purpose of meeting
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,"Roundtable with: Mencap, NHF, Action Acton, CFG, Action on Hearing Loss, ACEVO, Amber, Barnados, Groundwork UK, Children England, Mind, NSPCC, 3SC, Social Enterprise UK, Alzheimer’s Association, NAVCA, Turning Point, P3, CLINKS, St Giles Trust, TCV, DWUK, SFUK, NCVO, Small Charities Coalition, Tomorrows People, Action for Children, Community Matters, Gingerbread, Catch 22",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,UK Online Centres,UK Online Centres
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Dec-12,"Roundtable with: Community Development Finance Association, Social Investment Business, Fredericks Foundation, Fair Finance, Bridges Ventures, Community Foundation Network, Big Society Capital, RBS Group, British Bankers Association, Unity Trust Bank",Microfinance
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Oct-12,HS Chapman Society,Individual electoral registration
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Oct-12,Electoral Commission,Electoral policy
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Oct-12,Bite the Ballot,Maximising voter registration
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Oct-12,Association of Electoral Administrators (AEA),Electoral administration
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Oct-12,HTK Horizon,Civil contingencies
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Oct-12,Electoral Commission,Electoral policy
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Nov-12,Cross Industry Group,Edited Register
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Nov-12,The Times,General Discussion
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",Dec-12,Electoral Commission,Electoral policy
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,Telegraph,Meeting on Justice and Security Bill
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,ABPI,Health
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,Health is Global External Partners’ Forum ,Plenary session
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,Shell,Meeting on trade (energy) work
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,Wellcome Trust,Meeting
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,Regulatory Policy Institute,Meeting
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Nov-12,British Gas,Meeting on trade (energy) work
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",Dec-12,Industry Roundtable on Healthcare Opportunities in China,Roundtable meeting
"Minister without Portfolio, The Rt Hon Grant Shapps MP",Oct-12,"Tim Montgomerie, ConservativeHome",General Discussion
"Minister without Portfolio, The Rt Hon Grant Shapps MP",Oct-12,"John Mullin, Independent on Sunday",General Discussion
"Minister without Portfolio, The Rt Hon Grant Shapps MP",Oct-12,"Nick Robinson, BBC",General Discussion
