Minister,Date,Name of Organisation,Purpose of meeting²
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Greater Lincolnshire LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Northamptonshire Enterprise Partnership,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,"Derby, Derbyshire, Nottingham and Nottinghamshire LEP",Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Professor Greg Clark,Cities Policy
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,London LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Sheffield City Region LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Leeds City Region LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,York North Yorkshire East Riding LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Greater Cambridge and Greater Peterborough LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Herts LEP,Growth deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,New Anglia LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,"Smart Cities Forum (IBM, Cisco Systems, Arup, Schneider Electric, Siemens, Capgemini, Balfour Beatty, Living PlanIT, Ethos VO, GLA, Glasgow City Council, Milton Keynes Council, Bristol City Council, Manchester City Council, lLeeds City Council, Local Government Association, University College London, Imperial College London, University of Surrey, Heriot Watt University, Technology Strategy Board, Future Cities Catapult, British Standards Institution, RCUK, NESTA)",Smart Cities
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Liverpool City Region,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Cheshire and Warrington LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",February,Greater Manchester LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,"Lancashire LEP, Blackpool Council, Blackpool and Fylde College",Local Government
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,"Blackpool and Fylde College, Social Enterprise Solutions, Blackpool Council, Wyre Council, Director Victrex, MD Addison’s, Blackpool, Fylde and Wyre Economic Development Company, AGC Chemicals",Local Growth
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,"South East Midlands LEP, Northamptonshire LEP, Kettering Borough Council",Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March, Farrells,Cities Policy
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Black Country LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,South East Midlands LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,"Solent LEP, Solent Employment and Skills Board, Sparsholt College, Eastleigh College, Isle of Wight College, Fareham College, Brokenhurst College, City College Southampton, South Downs College",Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Stoke and Staffs LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,North East LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Tees Valley LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Humber LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March, What Works Centre for Local Growth,Local Growth
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Bite the Ballot,Electoral Policy
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Cheshire and Warrington LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Coventry and Warwickshire LEP,Growth Deals
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Centre for Cities,Cities Policy
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,Operation Black Vote,Electoral Policy
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",March,MIPIM UK,Cities Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Capgemini,Capgemini’s sustainability and citizenship agenda
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Community Links,Social Investment
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,East London CVS,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Fujitsu,Fujitsu’s community projects in the UK 
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Northampton University,Procurement
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Big Lottery Fund,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January,SHINE,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Deloitte,Corporate responsibility
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Cranfield Trust,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Spirit of 2012 Trust,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,"Roundtable: Macmillan, Age UK, Red Cross, Scout Association, RNLI, St John, Salvation Army, RSPCA, The Royal British Legion, RNIB, British Heart Foundation, NSPCC, Scope, Marie Curie Cancer Care, NESTA",Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January,Join In,Join In business plan
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Plotr,Youth policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,London VSC,Transforming Local Infrastructure (TLI) funded project
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,4Children,Youth policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",January ,Cipd,Youth Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February,Powa,Procurement/Partnerships
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Social Enterprise UK,Social Economy Alliance
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February,Goldman Sachs,Social Impact Bonds
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Family Mosaic Housing Association,Social Value Act/Housing
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Telefonica UK,Partnerships
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Big Lottery Fund,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,NCS Trust,NCS
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Locality ,Community Organisers 
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Omidyar,Social Investment
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,"Roundtable: Barnardos, Catch22, Groundwork, The Prince’s Trust, Rathbone UK, The Foyer Foundation, Youth United Foundation",Youth Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,NCVO,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,XLP,Gangs
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Business in the Community,VCSE organisations
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Football Foundation,Social Investment
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",February ,Google,Marketing of paid adverts
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,Big Society Capital,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,Big Lottery Fund,Big Society Policy
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,St John Ambulance,Priory
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March,Locality,Community Organisers programme
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,Nominet Trust,Flooding
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,UK Safe Families for Children,Social Impact Bond
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,Alzheimer’s Society’s,Dementia Friends
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",Marc,British Venture Capital Association,Social Investment
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,FINCA,Social Enterprises
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March ,"Roundtable: Cranfield Trust, Reach Volunteering, Zurich Community Trust, Liverpool CVS, Slaughter and May, Mother Tongue, Hackney CVS, Kharis Catering, London Community Foundation, The Whitechapel Centre, Antique Rose, FoodCycle, Peter Pan Nursery, The Forum, Streets of Growth, DASH ",Business giving
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",March,Street Bank,Big Society Policy
"Parliamentary Secretary, Jo Johnson MP ",January ,Banking Standards Review,Banking discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,Anthony Seldon,General discussion
"Parliamentary Secretary, Jo Johnson MP ",January ,Ferdinand Mount,General discussion
