Minister,Month,Org,Purpose,Year
"Minister for Civil Society, Nick Hurd",April 2011,Cruse Bereavement Care,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,CIOT,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,Lord Lieutenant David Briggs,Voluntary Sector,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,ICG,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",April 2011,Private Equity Foundation,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Fast Track Agency,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Craig Whittaker MP and Constituents,The Voluntary Sector within their Constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Zopa,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Rob Wilson MP and Constituents,The Voluntary Sector within their Constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Training for Life,Big Society Policy ,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Gordon Henderson MP and Constituents,The Voluntary Sector within their constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Big Society Capital,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Marie Curie Cancer Care,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,British Inspirational Trust,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Royal Horticultural Society,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Richard Benyon MP and Constituents,The Voluntary Sector within their Constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Islington Giving,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Eden Project and Message Trust,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,David Rutley MP and Constituents,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Aidan Burley MP and constituents,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,SERCO,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Youth Utd,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,HSBC,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,Worldwide Volunteering,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,RBS,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",May 2011,United Way,Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Greg Mulholland MP and constituents,The Voluntary Sector within their Constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,"Geordie Greig, Evening Standard",The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Refuge,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Treejumpers,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Big Lottery Fund,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,NCVO,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,CIC Association,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Julian Smith MP and Constituents,The Voluntary Sector within their Constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Catch 22,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,BITC and National Grid,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Martyn Rose,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Your Square Mile,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,V-inspired,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Impetus,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,"Everything, Everywhere",The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,ACEVO,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Big Issue,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Margaret Curuthas,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Joseph Rowntree Foundation,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,New Philanthropy Capital,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Dr Michael Nussbaum,The Big Society Policy,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for Civil Society, Nick Hurd",June 2011,Caroline Dineage MP and constituents,The Voluntary Sector within their Constituency,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister without Portfolio, The Rt Hon Baroness Warsi",April 2011,"Sailesh Ram, Eastern Eye",General Discussion,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister without Portfolio, The Rt Hon Baroness Warsi",May 2011,Faith Matters,Update on Charitable Work,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister without Portfolio, The Rt Hon Baroness Warsi",May 2011,National Association of Muslim Police,Introductory Meeting,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister without Portfolio, The Rt Hon Baroness Warsi",June 2011,Church of England,Discussion on religious minorities,,2011,./ministerial-data-cabinet-office/data/comeetingsaprjun2011.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-13,Rockcorp,Big Society agenda,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-13,Fayre Share Foundation,Appointments,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-13,Bain,Civil Service Reform,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-13,TUC,General discussion,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-13,BT,Cyber,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Jan-13,"Babcock, Balfour Beatty, BT, Capita, Fujitsu, G4S, Interserve, Serco",Open Access,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-13,McKinsey,Efficiency discussion,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-13,CBI,General meeting,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-13,McKinsey,Public sector reform discussion,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-13,Reading room,Digital discussion,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Feb-13,Better Capital,SMEs,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,IPPR,To discuss IPPR report,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,BSA,Open Public Services,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,Salesforce.com,Cyber,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,Kingston Smith LLP,Regulation/red tape,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,Ramsay Health Care,General meeting,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,Policy exchange,Digital,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,HRP,Appointments,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",Mar-13,Institute for Government,General meeting,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Association of British Insurers,Flood Insurance,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Hacked Off,Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Local Government Association,Local Government Issues,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Lord Guy Black, Telegraph,Chris Blackhurst, Independent,Guardian Media Group,Lord David Hunt, Press Complaints Commission,Michael McManus, Press Complaints Commission,Newspaper Society,Trinity Mirror,John Witherow, News International,Peter Wright, Associated,Northern & Shell",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Lord Guy Black, Telegraph,News International,Peter Wright, Associated",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Kainos Community,Offender Rehabilitation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Peter Wright, Associated,Lord David Hunt, Press Complaints Commission,Michael McManus, Press Complaints Commission,Newspaper Society,Guardian Media Group,News International,Chris Blackhurst, Independent,Paul Vickers, Trinity Mirror",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Hacked Off,Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Lionel Barber, Financial Times",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"John Witherow, News International",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Murdoch MacLennan, Telegraph,Lord Guy Black, Telegraph",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Lord Guy Black, Telegraph,Trinity Mirror,Reynolds Porter Chamberlain",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Association for British Insurers,Flood Insurance,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"News International,Lord Guy Black, Telegraph,Trinity Mirror,Peter Wright, Associated,Michael McManus, Press Complaints Commission",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Peter Wright, Associated,Guy Black, Telegraph,Newspaper Society,Reynolds Porter Chamberlain",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,United Kingdom Petroleum Industry Association,Energy Industry,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Association of British Insurers,Flood Insurance,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Murdoch MacLennan, Telegraph,Lord Guy Black, Telegraph",Leveson Implementation ,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Peter Wright, Associated,Trinity Mirror,Newspaper Society,Lord Guy Black, Telegraph",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,Association of British Insurers,Flood Insurance,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Jan-13,"Peter Wright, Associated,Lord Guy Black, Telegraph,Newspaper Society,Trinity Mirror",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Peter Wright, Associated,Newspaper Society",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Lionel Barber, Financial Times,Murdoch MacLennan, Telegraph,Lord Guy Black, Telegraph",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,Eden Project,The Eden Project,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Paul Dacre, Daily Mail",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,Hacked Off,Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,Association of British Insurers,Flood Insurance,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Charterhouse Capital Partners,Tunstall Healthcare",Telehealth,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,Employment Lawyers Association,Government Consultations,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,British Telecom,Broadband,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"John Witherow, News International",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Sir Ian Byatt,Blaiklock Associates",Thames Tunnel,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,Local Government Association,Local Government Issues ,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Paul Dacre, Daily Mail,Peter Wright, Associated",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Murdoch MacLennan, Telegraph,Lord Guy Black, Telegraph",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,British Telecom,Broadband,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Nick Robinson, BBC",Leveson Enquiry and Progress of Government and Public Service Welfare Policy,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Peter Wright, Associated,Trinity Mirror,Newspaper Society",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Feb-13,"Trinity Mirror,Newspaper Society",Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",Mar-13,Hacked Off,Leveson Implementation,,./ministerial-data-cabinet-office/data/comeetingsjanmar.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Professor Kakabadse,Civil Service Reform ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Karnataka ICT Group 2020,IT Reform ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Dr Anthony Seldon,Civil Service Reform,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,Institute for Government ,Civil Service Reform,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,British Council,Relationship with British Council,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July   ,Hadley Trust ( Phil Hulme),Introductory meeting ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,"Emergency Planning College, SERCO",Interoperability ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",July,"Conservative Home, Paul Goodman",Civil Service Reform and Efficiency,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",August ,National Trade Union Council, Redundancy Consultation protocols,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",August   ,Institute for Government,Accountability ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",August,Wall Street Journal,Government digital strategy ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September  ,FDA,Trade Union relations,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September    ,OIX & GSMA & mobile operators,Identity assurance programme,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Liberty,Data Sharing,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Financial Times,Civil Service Reform and Efficiency,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Conservatives Home,Civil Service Reform and Efficiency,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Civil Service World,Civil Service Reform ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,IPPR,Civil Service Reform ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Rolta ,IT Reform,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Infosys,IT Reform ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,BBC,Civil Service Reform,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",September,Spectator,Civil Service Reform ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,NC3Rs,NC3Rs work on animal testing,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,The UK India Business Council ,Indian Investment opportunities for the UK,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,The UK Cards Association ,Opportunities to increase use of overseas payment cards in the UK.,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Aegis ,Amnesty Report on South Kordofan and London demonstration,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Ben Goldacre ,Clinical trial transparency,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Attendees came from a number of regulators,No.10 Roundtable on consumer focused regulators,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,"University of York, Plymouth University, University of Essex, Transform UK",Marine Conservation Zones ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Advisers to German Government ,Behavioural Insights discussion ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,F1 in Schools,F1 in Schools Partnership Launch ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Professor Peter Nolan and the Chinese Leadership Programme,Roundtable ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Paul Evans & Edric Ackland-Snow,Angel investment in the UK,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Centrica,Smart Meters ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Defence National Rehabilitation Centre (DNRC),Defence National Rehabilitation Centre ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Rothschild,Transport policy ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,BT,Broadband,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,"Indian Angel Investor Network, UCL, Imperial College London, Silicon Valley Bank",Introducing international angel investors to the UK innovation ecosystem,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,SharedLivesPlus,Homeshare initiative ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,330 Limited,Providing training and employment to offenders ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Emmaus,Discussion with homeless charities,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July ,Big Society Capital & Indian Angel Investor Network,Social Investment,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",July,Federation of Small Businesses,Zero-carbon homes policy ,2013,./ministerial-data-cabinet-office/data/comeetingsjulsept13__2_.csv
