Minister,Month,Org,Purpose,Year
"Government Whip (Lords), Lord Wallace of Saltaire",July,INCommunities,Discussion of expansion of apprenticeships in Bradford,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Government Whip (Lords), Lord Wallace of Saltaire",September,Slovak Atlantic Commission,Discussion of UK-Slovakian relations,2013,./ministerial-data-cabinet-office/data/bmmeetingsjulsep2013.csv
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Andrew Mitchell MP",Sept,Centre for Global Development,Catch up,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Newby",July,Social Enterprise UK,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Newby",July,Cavendish Place Communications,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Newby",July,Victim Support,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Newby",July,City of London Corporation,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Stowell",Sept,Oxford University Mindfulness Centre,General discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Wallace",July,Centre Forum,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Wallace",July,Crown Centre for Middle East Studies,To discuss situation in Middle East,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Wallace",July,Chatham House,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Wallace",July,Director of the Crown Centre for Middle East Studies,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Wallace",Sept,Royal United Services Institute,Policy discussion,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Lord Wallace",Sept,Chatham House,Attendance at Franco-UK defence forum,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
"Lords Government Whip, Baroness Verma",July,Bristol University,Speaking event,2012,./ministerial-data-cabinet-office/data/bmmeetingsjulsept2012.csv
