Meeting ID,Minister,Role,Department,Start Date,End Date,Organization,Representative,Reason,Hospitality?
252,"Bollom, Simon AM",DES CofM Air-COM Air,Ministry of Defence,2013-06-13,2013-06-13,BAE Systems,,Working dinner as part of the CEO event in the States,1
253,Air Marshall Stephen Hillier,Cap DCDS-Personal,Ministry of Defence,2013-04-09,2013-04-09,BAE Systems,,Lunch,1
254,Air Marshall Stephen Hillier,Cap DCDS-Personal,Ministry of Defence,2013-06-05,2013-06-05,BAE Systems,,BAE Warton visit with lunch,1
255,Andrew Manley SCS,DIO-CE,Ministry of Defence,2013-04-30,2013-04-30,BAE Systems,,Dinner,1
256,Mr Bernard Gray,Chief of Defence Material (Ministry of Defence),Ministry of Defence,2013-12-03,2013-12-03,BAE Systems,,Working Lunch during Site Visit,1
257,Mr Bernard Gray,Chief of Defence Material (Ministry of Defence),Ministry of Defence,2013-12-12,2013-12-12,MBDA,,Dinner,1
257,Mr Bernard Gray,Chief of Defence Material (Ministry of Defence),Ministry of Defence,2013-12-12,2013-12-12,BAE Systems,,Dinner,1
258,Mr Bernard Gray,Chief of Defence Material (Ministry of Defence),Ministry of Defence,2013-12-17,2013-12-17,BAE Systems,,Dinner,1
259,Sir Jeremy Heywood,Cabinet Secretary,Cabinet Office,2014-05,2014-05,BAE Systems,,Discussion of Defence Issues,0
260,Jo Johnson MP,Parliamentary Secretary,Cabinet Office,2014-06,2014-06,BAE Systems,,India discussion,0
261,Hayden Allan,Special Advisor,Foreign & Commonwealth Office,2014-07,2014-07,BAE Systems,,Lunch,1
262,Philip Dunne,Minister for Defence Equipment Support and Technology,Ministry of Defence,2014-12-10,2014-12-10,BAE Systems,,Attendance at The Sun Military Awards,1
263,Rt Hon Michael Fallon MP,Secretary of State for Defence,Ministry of Defence,2014-12,2014-12,BAE Systems,,Company site visit,0
264,Rt Hon Michael Fallon MP,Secretary of State for Defence,Ministry of Defence,2014-12,2014-12,BAE Systems,,Company site visit,0
265,Rt Hon Mark Francois MP,Minister of State Armed Forces,Ministry of Defence,2014-12-18,2014-12-18,BAE Systems,,Company site visit,0
